City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Bar,UA,49.08,27.68,24.13,63,100,9.57,overcast clouds
321,Sept-Iles,CA,50.2,-66.38,3.63,85,20,2.3,few clouds
322,Oussouye,SN,12.48,-16.55,68.18,71,9,1.61,clear sky
323,Campbell River,CA,50.02,-125.24,36.93,69,71,1.01,broken clouds
324,Korla,CN,41.76,86.15,38.98,30,99,1.43,overcast clouds
325,Barranca De Upia,CO,4.57,-72.97,74.26,75,100,2.68,overcast clouds
326,Rocha,UY,-34.48,-54.33,59.36,97,53,3.65,broken clouds
327,Cabo San Lucas,MX,22.89,-109.91,75.51,74,100,10.0,overcast clouds
328,Alexandria,EG,31.22,29.96,64.36,63,40,18.41,scattered clouds
329,Sur,OM,22.57,59.53,78.49,51,0,5.88,clear sky
330,Khani,GE,41.96,42.96,49.57,37,100,3.44,overcast clouds
331,Port Hardy,CA,50.7,-127.42,39.2,86,1,8.05,clear sky
332,Fairbanks,US,64.84,-147.72,-3.08,73,90,0.0,light snow
333,Kaeo,NZ,-35.1,173.78,69.33,91,14,7.43,few clouds
334,Marovoay,MG,-16.1,46.63,95.14,33,26,6.13,scattered clouds
335,Kisangani,CD,0.52,25.2,73.45,97,100,0.38,overcast clouds
336,Svetlogorsk,BY,52.63,29.73,27.3,87,100,7.09,overcast clouds
337,Geraldton,AU,-28.77,114.6,82.81,54,0,24.16,clear sky
338,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.73,92,49,8.9,scattered clouds
339,Hualmay,PE,-11.1,-77.61,65.43,89,100,7.38,overcast clouds
340,Malpe,IN,13.35,74.72,85.3,70,5,10.85,clear sky
341,Buraydah,SA,26.33,43.98,66.65,21,2,14.47,clear sky
342,Roma,US,43.21,-75.46,35.83,85,90,8.05,light snow
343,Khatanga,RU,71.97,102.5,-23.94,96,100,11.88,overcast clouds
344,Valparaiso,CL,-33.04,-71.63,56.84,94,0,4.61,clear sky
345,Charlestown,AU,-32.95,151.67,66.81,65,95,8.01,overcast clouds
346,Maravilha,BR,-26.76,-53.17,70.21,70,46,3.8,scattered clouds
347,Mixquiahuala,MX,20.23,-99.22,49.93,92,8,2.55,clear sky
348,Centralia,US,46.72,-122.95,40.91,97,90,0.0,overcast clouds
349,Victoria,HK,22.29,114.16,75.18,44,93,11.01,overcast clouds
350,Aksu,CN,41.12,80.26,39.22,30,76,1.86,broken clouds
351,Kassala,SD,15.45,36.4,87.4,29,0,10.09,clear sky
352,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,23.59,50,40,6.71,scattered clouds
353,Atikokan,CA,48.76,-91.62,16.18,87,100,4.65,overcast clouds
354,Constitucion,CL,-35.33,-72.42,58.87,62,0,4.97,clear sky
355,Olafsvik,IS,64.89,-23.71,37.56,69,100,41.23,overcast clouds
356,Mahebourg,MU,-20.41,57.7,85.24,61,20,11.5,few clouds
357,Manvi,IN,15.98,77.05,85.26,44,4,3.4,clear sky
358,Lodwar,KE,3.12,35.6,90.7,32,57,20.04,broken clouds
359,Mount Gambier,AU,-37.83,140.77,67.91,45,0,14.97,clear sky
360,Cap-Aux-Meules,CA,47.38,-61.86,28.42,59,98,10.36,overcast clouds
